age,gender,category,purchase_amount,location,size,season,review_rating,subscription,payment_method,shipping_type,discount_apply,previous_purchase,preffered_payment,freq_purchase,cluster
55,Male,Clothing,53.0,Southeast,L,Winter,3.1,Yes,Credit Card,Express,Yes,14.0,Venmo,Fortnightly,3
19,Male,Clothing,64.0,Northeast,L,Winter,3.1,Yes,Bank Transfer,Express,Yes,2.0,Cash,Fortnightly,0
50,Male,Clothing,73.0,Northeast,S,Spring,3.1,Yes,Cash,Free Shipping,Yes,23.0,Credit Card,Weekly,0
21,Male,Footwear,90.0,Northeast,M,Spring,3.5,Yes,PayPal,Next Day Air,Yes,49.0,PayPal,Weekly,1
45,Male,Clothing,49.0,West,M,Spring,2.7,Yes,Cash,Free Shipping,Yes,31.0,PayPal,Annually,2
46,Male,Footwear,20.0,West,M,Summer,2.9,Yes,Venmo,Standard,Yes,14.0,Venmo,Weekly,3
63,Male,Clothing,85.0,West,M,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,49.0,Cash,Quarterly,1
27,Male,Clothing,34.0,Southwest,L,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,19.0,Credit Card,Weekly,3
26,Male,Outerwear,97.0,Southeast,L,Summer,2.6,Yes,Venmo,Express,Yes,8.0,Venmo,Annually,0
57,Male,Accessories,31.000000000000004,Midwest,M,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,4.0,Cash,Quarterly,3
53,Male,Footwear,34.0,Southwest,L,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,26.0,Bank Transfer,Bi-Weekly,2
30,Male,Clothing,68.0,West,S,Winter,4.9,Yes,PayPal,Store Pickup,Yes,10.0,Bank Transfer,Fortnightly,0
61,Male,Outerwear,72.0,Southeast,M,Winter,4.5,Yes,PayPal,Express,Yes,37.0,Venmo,Fortnightly,1
65,Male,Clothing,51.0,Northeast,M,Spring,4.7,Yes,Debit Card,Express,Yes,31.0,PayPal,Weekly,2
64,Male,Outerwear,53.0,Northeast,L,Winter,4.7,Yes,PayPal,Free Shipping,Yes,34.0,Debit Card,Weekly,2
64,Male,Clothing,81.0,Northeast,M,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,8.0,PayPal,Monthly,0
25,Male,Accessories,36.0,Southeast,S,Spring,4.1,Yes,Venmo,Next Day Air,Yes,44.0,Debit Card,Bi-Weekly,2
53,Male,Clothing,38.0,Southeast,XL,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,36.0,Venmo,Quarterly,2
52,Male,Clothing,48.0,West,S,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,17.0,Cash,Weekly,3
66,Male,Clothing,90.0,Northeast,M,Summer,3.3,Yes,Venmo,Standard,Yes,46.0,Debit Card,Bi-Weekly,1
21,Male,Clothing,51.0,Southwest,M,Winter,2.8,Yes,Credit Card,Express,Yes,50.0,Cash,Every 3 Months,2
31,Male,Clothing,62.0,Southeast,M,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,22.0,Debit Card,Quarterly,0
56,Male,Clothing,37.0,West,M,Summer,3.2,Yes,Cash,Store Pickup,Yes,32.0,Debit Card,Annually,2
31,Male,Clothing,88.0,Southwest,XL,Winter,4.4,Yes,Credit Card,Express,Yes,40.0,Credit Card,Weekly,1
18,Male,Outerwear,22.0,Southeast,M,Fall,2.9,Yes,Cash,Store Pickup,Yes,16.0,Debit Card,Weekly,3
18,Male,Clothing,25.0,Southwest,M,Summer,3.6,Yes,Bank Transfer,Express,Yes,14.0,PayPal,Annually,3
38,Male,Accessories,20.0,West,M,Spring,3.6,Yes,Cash,Next Day Air,Yes,13.0,Credit Card,Annually,3
56,Male,Clothing,56.0,Southeast,L,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,7.0,Bank Transfer,Every 3 Months,3
54,Male,Accessories,94.0,Southeast,M,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,41.0,PayPal,Every 3 Months,1
31,Male,Clothing,48.0,West,S,Fall,4.1,Yes,Venmo,Store Pickup,Yes,14.0,Credit Card,Weekly,3
57,Male,Accessories,31.000000000000004,Southeast,L,Winter,4.7,Yes,Bank Transfer,Standard,Yes,16.0,Credit Card,Monthly,3
33,Male,Clothing,79.0,Southeast,L,Winter,4.7,Yes,Venmo,Store Pickup,Yes,45.0,Venmo,Monthly,1
36,Male,Outerwear,67.0,Midwest,M,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,37.0,Venmo,Annually,1
54,Male,Clothing,38.0,West,L,Summer,3.3,Yes,Venmo,Store Pickup,Yes,45.0,Cash,Quarterly,2
36,Male,Clothing,91.0,Midwest,L,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,38.0,PayPal,Quarterly,1
54,Male,Clothing,33.0,Northeast,M,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,48.0,Credit Card,Bi-Weekly,2
35,Male,Clothing,69.0,Midwest,M,Winter,4.6,Yes,Cash,Free Shipping,Yes,44.0,PayPal,Fortnightly,1
35,Male,Clothing,45.0,Midwest,S,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,10.0,PayPal,Weekly,3
29,Male,Clothing,37.0,Southeast,M,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,44.0,Venmo,Every 3 Months,2
70,Male,Clothing,60.0,West,S,Summer,4.2,Yes,Bank Transfer,Express,Yes,18.0,Credit Card,Monthly,0
69,Male,Accessories,76.0,Southwest,L,Winter,4.6,Yes,PayPal,Next Day Air,Yes,31.0,Debit Card,Quarterly,1
67,Male,Accessories,39.0,West,M,Spring,4.5,Yes,Cash,Standard,Yes,40.0,Venmo,Annually,2
20,Male,Outerwear,100.0,Southeast,M,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,15.0,PayPal,Annually,0
25,Male,Accessories,69.0,Midwest,L,Fall,3.7,Yes,PayPal,Store Pickup,Yes,19.0,PayPal,Fortnightly,0
39,Male,Accessories,53.0,Southeast,S,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,45.0,PayPal,Weekly,2
50,Male,Clothing,21.0,Southeast,XL,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,25.0,PayPal,Annually,2
57,Male,Clothing,43.0,West,L,Summer,2.9,Yes,Venmo,Store Pickup,Yes,45.0,Cash,Quarterly,2
55,Male,Accessories,54.0,West,M,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,36.0,Cash,Weekly,2
42,Male,Clothing,55.0,West,M,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,38.0,Cash,Monthly,2
68,Male,Clothing,30.0,Northeast,S,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,34.0,Debit Card,Bi-Weekly,2
49,Male,Clothing,28.0,Southeast,M,Spring,3.7,Yes,Cash,Store Pickup,Yes,39.0,Debit Card,Bi-Weekly,2
59,Male,Clothing,59.0,Northeast,XL,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,7.0,Credit Card,Quarterly,0
42,Male,Clothing,20.0,West,M,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,26.0,Credit Card,Weekly,2
29,Male,Clothing,24.0,Southeast,S,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,35.0,Credit Card,Weekly,2
47,Male,Outerwear,94.0,West,M,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,35.0,Debit Card,Bi-Weekly,1
40,Male,Outerwear,28.0,Southeast,M,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,49.0,Credit Card,Annually,2
41,Male,Accessories,73.0,Southeast,XL,Summer,4.7,Yes,PayPal,Store Pickup,Yes,46.0,Credit Card,Weekly,1
21,Male,Outerwear,64.0,Southeast,M,Summer,4.4,Yes,PayPal,Store Pickup,Yes,17.0,Debit Card,Fortnightly,0
69,Male,Clothing,54.0,Midwest,M,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,29.0,Venmo,Monthly,2
63,Male,Accessories,79.0,Southwest,L,Spring,4.6,Yes,Debit Card,Standard,Yes,4.0,Debit Card,Weekly,0
50,Male,Clothing,37.0,West,L,Summer,4.0,Yes,Credit Card,Express,Yes,17.0,Cash,Weekly,3
55,Male,Accessories,68.0,Southwest,M,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,21.0,Credit Card,Every 3 Months,0
30,Male,Footwear,21.0,Southeast,S,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,31.0,Credit Card,Fortnightly,2
33,Male,Accessories,79.0,West,L,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,43.0,Credit Card,Weekly,1
65,Male,Footwear,83.0,Southeast,S,Fall,4.8,Yes,PayPal,Standard,Yes,18.0,Debit Card,Fortnightly,0
65,Male,Accessories,36.0,Northeast,M,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,44.0,Venmo,Every 3 Months,2
31,Male,Clothing,94.0,Northeast,S,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,3.0,Venmo,Every 3 Months,0
45,Male,Outerwear,33.0,Northeast,L,Winter,4.4,Yes,PayPal,Store Pickup,Yes,49.0,Debit Card,Monthly,2
57,Male,Accessories,46.0,West,L,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,21.0,Cash,Every 3 Months,3
48,Male,Accessories,70.0,Southeast,S,Summer,4.4,Yes,Credit Card,Express,Yes,5.0,Cash,Weekly,0
22,Male,Accessories,29.000000000000004,Southeast,M,Fall,4.2,Yes,Credit Card,Express,Yes,32.0,Debit Card,Every 3 Months,2
36,Male,Clothing,48.0,Southeast,L,Summer,2.9,Yes,Debit Card,Express,Yes,34.0,Bank Transfer,Annually,2
18,Male,Clothing,26.0,Southeast,M,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,21.0,Bank Transfer,Every 3 Months,3
48,Male,Clothing,85.0,West,M,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,43.0,Bank Transfer,Bi-Weekly,1
49,Male,Accessories,58.0,Midwest,L,Spring,4.5,Yes,PayPal,Express,Yes,3.0,Cash,Monthly,3
64,Male,Accessories,85.0,West,M,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,21.0,Credit Card,Annually,0
50,Male,Accessories,43.0,Southeast,S,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,32.0,Venmo,Monthly,2
22,Male,Clothing,53.0,Southeast,L,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,36.0,Debit Card,Fortnightly,2
50,Male,Clothing,91.0,Midwest,M,Spring,4.7,Yes,Venmo,Free Shipping,Yes,50.0,Venmo,Fortnightly,1
